T(¡æ)	P(atm)	Cu(g)	S(g)	Fe(g)	SiO2(g)	Pb(g)	Zn(g)	MgO(g)	Al2O3(g)	Ni(g)	Sb(g)	Bi(g)	CaO(g)	As(g)	O2(g)
1200	1	19.265	30.348	29.198	11.415	0.235	0.836	1.199	0.445	0.695	0.046	0.017	0.049	0.285	21
1200	1	17.039	27.65	20.533	19.266	0.442	1.598	0.499	2.154	0.024	0.085	0.025	0.485	0.589	21
1200	1	17.174	19.329	22.105	23.425	0.188	0.355	0.992	2.303	0.251	0.077	0.01	0.875	0.013	21
1200	1	18.558	20.291	18.679	19.244	0.098	0.468	0.941	3.581	0.016	0.123	0.01	0.627	0.009	21
1200	1	21.159	26.192	22.191	15.018	0.261	1.597	0.834	1.783	0.006	0.062	0.009	0.488	0.006	21
1200	1	16.977	21.252	19.141	22.062	0.035	0.124	0.977	3.644	0.012	0.083	0.014	3.364	0.019	21
1200	1	16.77	25.994	20.665	19.402	0.544	1.696	0.575	2.399	0.026	0.096	0.026	0.398	0.621	21
1200	1	21.853	23.497	21.749	13.742	0.444	2.672	3.966	1.092	0.336	0.091	0.01	0.499	0.005	21
1200	1	17.766	17.041	30.421	13.468	0.769	1.202	0.598	1.357	0.11	0.025	0.017	1.4	0.208	21
1200	1	19.345	22.581	21.223	18.614	0.234	1.049	0.823	2.425	0.01	0.073	0.01	0.825	0.01	21
1200	1	22.162	24.523	28.002	7.022	0.252	0.477	0.255	1.813	0.01	0.041	0.01	0.444	0.015	21
1200	1	20.1	25.065	21.344	17.911	0.196	1.183	0.657	2.067	0.011	0.069	0.011	0.879	0.053	21
1200	1	17.047	15.892	26.656	18.349	0.566	0.857	0.812	2.293	0.009	0.028	0.014	2.998	0.027	21
1200	1	19.059	25.562	19.599	20.342	0.357	1.516	0.624	2.595	0.033	0.119	0.022	1.995	0.406	21
1200	1	20.399	18.946	28.498	11.248	0.582	1.257	0.547	1.464	0.009	0.039	0.01	0.479	0.017	21
1200	1	18.938	22.999	20.376	17.999	0.19	0.578	0.902	3.85	0.015	0.116	0.021	4.838	0.18	21
1200	1	17.087	10.469	32.666	15.275	1.062	1.464	0.307	0.783	0.013	0.014	0.014	0.415	0.191	21
1200	1	20.007	25.077	23.672	11.972	0.342	1.487	1.361	1.544	0.104	0.084	0.016	0.648	0.242	21
1200	1	19.642	24.314	23.624	15.222	0.133	0.599	2.756	1.672	0.529	0.092	0.014	0.252	0.158	21
1200	1	19.427	30.084	27.515	11.958	0.301	1.116	1.277	0.777	0.57	0.063	0.02	0.393	0.376	21
1200	1	18.947	22.239	20.587	22.262	0.288	1.661	2.132	1.474	0.28	0.079	0.009	0.389	0.006	21
1200	1	18.498	27.955	22.116	15.704	0.217	0.868	0.69	2.679	0.022	0.055	0.02	2.318	0.288	21
1200	1	21.084	22.125	19.011	20.937	0.121	0.794	0.633	2.953	0.01	0.132	0.012	2.094	0.022	21
1200	1	18.789	16.318	26.919	14.282	0.408	0.583	0.417	1.621	0.01	0.064	0.01	0.711	0.016	21
1200	1	20.164	28.009	23.189	15.571	0.128	0.669	0.211	1.705	0.013	0.043	0.014	0.364	0.18	21
1200	1	19.343	22.804	21.92	18.778	0.04	0.42	1.89	1.745	0.189	0.059	0.01	1.119	0.011	21
1200	1	20.194	27.492	24.578	10.427	0.066	0.599	0.479	2.126	0.019	0.029	0.01	0.595	0.01	21
1200	1	18.581	26.433	22.876	16.781	0.126	0.768	0.408	1.835	0.019	0.028	0.011	0.435	0.104	21
1200	1	22.241	21.568	20.401	15.688	0.038	0.444	2.473	2.85	0.25	0.143	0.012	1.817	0.01	21
1200	1	19.431	23.022	22.304	16.797	0.428	2.072	1.088	1.699	0.009	0.059	0.009	0.587	0.007	21
1200	1	20.126	23.378	19.501	19.068	0.22	1.131	0.691	3.056	0.019	0.129	0.016	2.286	0.162	21
1200	1	21.093	28.383	25.553	6.864	0.066	0.605	0.476	2.17	0.019	0.033	0.01	0.528	0.01	21
1200	1	18.351	22.203	22.968	20.028	0.062	0.334	0.783	1.561	0.25	0.072	0.009	0.493	0.008	21
1200	1	18.484	21.135	22.892	18.273	0.045	0.227	0.602	1.691	0.14	0.082	0.009	0.694	0.009	21
1200	1	16.967	31.991	26.141	13.563	0.954	2.871	0.169	0.668	0.03	0.037	0.037	0.222	1.026	21
1200	1	17.519	17.18	20.707	22.895	0.238	0.663	1.252	2.319	0.075	0.091	0.01	0.925	0.012	21
1200	1	20.249	18.512	22.965	18.206	0.42	1.092	2.709	1.902	0.305	0.123	0.018	1.817	0.246	21
1200	1	21.198	23.335	24.937	12.752	0.02	0.363	3.418	0.965	0.531	0.073	0.01	0.359	0.01	21
1200	1	19.347	24.249	18.311	19.994	0.385	1.643	0.918	3.276	0.019	0.146	0.022	2.309	0.346	21
1200	1	19.623	24.53	21.418	17.722	0.509	2.773	1.783	1.654	0.168	0.077	0.011	1.312	0.006	21
1200	1	18.564	27.542	22.945	13.159	0.098	0.465	0.935	3.347	0.014	0.038	0.019	4.207	0.104	21
1200	1	18.049	23.745	21.805	18.843	0.189	0.72	0.61	1.964	0.11	0.085	0.015	0.547	0.226	21
1200	1	19.96	23.906	22.659	18.512	0.063	0.389	1.636	1.774	0.343	0.085	0.012	0.807	0.076	21
1200	1	18.014	19.313	19.611	21.605	0.075	0.335	1.404	2.471	0.113	0.108	0.011	0.646	0.057	21
1200	1	21.235	20.849	21.414	19.928	0.027	0.137	1.137	3.058	0.45	0.179	0.013	2.97	0.009	21
1200	1	16.848	13.765	27.563	20.733	0.608	0.871	0.356	1.222	0.012	0.016	0.009	0.43	0.019	21
1200	1	17.869	35.763	23.538	13.284	0.854	3.309	0.817	0.734	0.08	0.054	0.038	0.235	1.036	21
1200	1	19.835	31.668	22.131	12.285	0.902	4.164	1.352	1.169	0.019	0.077	0.026	0.473	0.577	21
1200	1	20.074	23.354	20.224	16.764	0.473	2.603	1.535	2.214	0.005	0.097	0.011	1.725	0.007	21
1200	1	21.448	26.832	29.255	7.644	0.037	0.27	2.622	0.669	0.763	0.063	0.01	0.194	0.01	21
1200	1	22.296	30.095	25.231	8.084	0.098	0.576	0.213	1.9	0.012	0.048	0.013	0.399	0.145	21
1200	1	18.117	17.282	25.785	19.496	0.623	1.525	0.621	1.261	0.009	0.036	0.01	0.449	0.064	21
1200	1	21.121	25.084	24.875	13.186	0.015	0.288	2.337	1.331	0.433	0.065	0.009	0.285	0.009	21
1200	1	18.708	14.676	28.577	13.933	0.552	0.745	0.624	1.387	0.04	0.051	0.01	0.622	0.03	21
1200	1	18.896	14.1	24.435	18.44	0.399	0.551	0.489	2.291	0.011	0.107	0.011	1.682	0.016	21
1200	1	16.854	30.061	21.605	18.306	0.566	2.034	0.348	1.529	0.026	0.073	0.03	0.385	0.77	21
1200	1	21.413	21.855	23.201	15.382	0.009	0.514	5.217	0.673	0.626	0.069	0.009	0.255	0.009	21
1200	1	19.226	21.906	22.062	19.066	0.034	0.444	2.364	1.373	0.262	0.059	0.009	0.459	0.009	21
1200	1	19.124	20.363	22.086	17.846	0.036	0.293	1.517	1.664	0.147	0.087	0.009	0.711	0.009	21
1200	1	19.034	21.88	23.674	18.236	0.248	0.61	0.375	1.897	0.012	0.048	0.01	0.419	0.062	21
1200	1	19.774	24.068	19.558	19.263	0.63	3.504	1.718	1.57	0.004	0.078	0.009	0.611	0.009	21
1200	1	17.571	16.623	26.995	18.478	0.497	0.818	0.379	1.403	0.014	0.019	0.009	0.444	0.017	21
1200	1	19.197	24.974	21.605	17.63	0.256	1.161	3.355	1.395	0.385	0.081	0.019	0.513	0.353	21
1200	1	20.276	27.003	28.628	9.823	0.044	0.182	1.503	1.178	0.651	0.061	0.01	0.656	0.011	21
1200	1	17.458	27.968	22.094	17.558	0.232	0.953	0.688	2.543	0.018	0.036	0.021	2.838	0.293	21
1200	1	18.78	25.571	23.084	16.763	0.061	0.548	0.47	1.88	0.049	0.027	0.009	0.442	0.009	21
1200	1	20.34	14.2	20.712	22.299	0.51	1.311	1.011	3.327	0.112	0.186	0.015	3.355	0.083	21
1200	1	16.56	27.04	19.926	21.865	0.4	1.503	0.492	2.132	0.025	0.072	0.023	0.356	0.522	21
1200	1	19.761	15.694	22.276	18.705	0.4	0.848	0.747	3.192	0.016	0.131	0.012	2.199	0.015	21
1200	1	20.582	21.925	18.078	20.986	0.339	1.45	1.127	3.581	0.185	0.202	0.021	3.247	0.283	21
1200	1	23.008	26.143	23.384	10.807	0.005	0.219	0.455	2.75	0.085	0.107	0.011	1.6	0.01	21
1200	1	19.569	22.356	19.804	19.192	0.524	2.877	1.51	1.649	0.003	0.093	0.009	0.725	0.003	21
1200	1	20.25	25.547	23.327	15.375	0.299	1.71	1.268	1.57	0.229	0.069	0.01	0.645	0.006	21
1200	1	18.263	21.065	23.138	19.584	0.712	2.059	0.642	1.862	0.034	0.1	0.022	1.528	0.431	21
1200	1	19.33	23.843	25.366	12.481	0.256	0.784	0.425	1.802	0.017	0.042	0.012	0.55	0.098	21
1200	1	21.159	27.145	24.097	10.665	0.058	0.444	2.021	2.218	0.198	0.054	0.015	2.094	0.084	21
1200	1	17.453	17.167	22.496	22.598	0.423	1.21	0.98	1.809	0.039	0.06	0.009	0.522	0.012	21
1200	1	19.637	25.902	24.1	10.639	0.243	0.943	0.414	1.815	0.016	0.087	0.018	0.747	0.293	21
1200	1	18.845	20.944	25.874	16.073	0.3	0.512	0.801	1.826	0.258	0.065	0.011	0.335	0.069	21
1200	1	19.709	24.022	19.131	19.127	0.665	3.647	1.963	1.942	0.002	0.085	0.011	1.651	0.005	21
1200	1	20.112	25.89	22.71	13.577	0.097	0.664	1.853	2.687	0.13	0.054	0.015	3.086	0.018	21
1200	1	20.489	19.326	23.117	18.738	0.087	0.54	5.16	0.513	0.621	0.066	0.009	0.237	0.011	21
1200	1	19.791	21.927	25.971	15.824	0.13	0.41	3.329	0.89	0.602	0.054	0.011	0.875	0.014	21
1200	1	20.067	26.775	23.626	12.31	0.164	1.11	0.683	1.991	0.016	0.037	0.009	0.513	0.008	21
1200	1	18.338	37.693	24.967	9.114	0.753	2.726	0.288	1.268	0.031	0.046	0.04	1.017	1.049	21
1200	1	18.948	21.55	20.779	18.694	0.261	1.417	1.062	2.056	0.051	0.094	0.009	0.817	0.007	21
1200	1	16.702	30.757	22.355	17.346	0.5	1.727	0.61	2.192	0.023	0.044	0.031	2.728	0.654	21
1200	1	19.66	18.116	22.178	21.413	0.182	0.271	1.101	3.082	0.339	0.149	0.014	3.479	0.016	21
1200	1	19.816	21.536	18.633	20.86	0.274	1.563	1.091	2.771	0.01	0.119	0.01	1.366	0.006	21
1200	1	17.024	16.181	23.44	19.511	0.391	0.454	0.911	3.25	0.013	0.069	0.014	2.647	0.024	21
1200	1	18.235	21.661	27.368	12.694	0.63	1.374	0.413	1.489	0.017	0.049	0.02	1.057	0.356	21
1200	1	18.916	23.394	21.011	18.694	0.069	0.502	2.204	2.653	0.183	0.064	0.014	2.77	0.017	21
1200	1	17.442	12.434	26.161	20.714	0.651	1.119	1.375	1.559	0.102	0.052	0.01	0.693	0.02	21
1200	1	18.719	21.288	18.946	21.02	0.022	0.122	0.769	3.343	0.064	0.11	0.01	0.473	0.01	21
1200	1	18.255	27.183	21.973	18.569	0.309	1.186	0.37	1.687	0.058	0.07	0.02	0.573	0.415	21
1200	1	20.32	23.236	23.949	14.756	0.088	0.232	1.181	2.982	0.351	0.114	0.015	3.379	0.017	21
1200	1	20.1	21.327	18.953	21.281	0.053	0.438	0.552	3.301	0.018	0.13	0.012	2.444	0.026	21
1200	1	18.649	26.672	22.121	17.353	0.284	1.322	1.774	1.554	0.18	0.055	0.018	0.636	0.313	21
1200	1	19.608	21.427	19.753	20.635	0.533	2.174	1.011	2.549	0.015	0.132	0.018	2.065	0.228	21
1200	1	19.558	20.868	20.509	20.942	0.181	1.045	2.563	1.983	0.238	0.087	0.011	1.641	0.01	21
1200	1	18.714	20.472	24.842	15.002	0.258	0.582	0.576	2.078	0.012	0.053	0.011	1.425	0.016	21
1200	1	20.141	25.26	26.419	11.36	0.068	0.344	1.337	1.452	0.395	0.061	0.01	0.393	0.01	21
1200	1	18.433	28.456	23.372	15.511	0.627	2.024	0.335	1.792	0.027	0.081	0.029	1.232	0.679	21
1200	1	17.701	30.321	22.618	15.009	0.403	1.493	0.663	2.314	0.061	0.056	0.027	1.946	0.538	21
1200	1	18.437	14.756	20.466	24.04	0.321	0.563	0.801	3.425	0.011	0.133	0.014	3.864	0.019	21
1200	1	20.639	23.022	23.792	12.922	0.432	1.89	1.133	2.003	0.074	0.08	0.01	1.038	0.009	21
1200	1	19.437	22.628	18.549	22.255	0.655	3.654	2.271	1.374	0.063	0.085	0.009	0.626	0.002	21
1200	1	21.066	23.868	22.65	13.358	0.011	0.307	2.983	2.187	0.315	0.078	0.012	1.376	0.013	21
1200	1	22.074	27.32	23.832	10.189	0.005	0.222	0.347	2.425	0.011	0.065	0.01	0.449	0.01	21
1200	1	16.723	19.486	22.81	23.012	0.396	1.079	0.757	1.994	0.011	0.034	0.013	1.933	0.068	21
1200	1	19.909	36.802	24.887	6.538	0.904	3.715	1.204	0.905	0.089	0.066	0.036	0.321	0.949	21
1200	1	18.398	25.716	22.508	15.999	0.048	0.243	0.892	3.201	0.031	0.038	0.016	3.928	0.022	21
1200	1	18.815	25.166	24.06	18.375	0.188	1.088	1.113	1.2	0.332	0.046	0.009	0.312	0.007	21
1200	1	18.139	25.409	23.798	17.871	0.047	0.314	0.914	2.053	0.247	0.036	0.012	1.833	0.014	21
1200	1	19.66	26.56	23.93	12.155	0.143	0.794	0.464	1.94	0.017	0.048	0.012	0.568	0.114	21
1200	1	19.536	25.533	24.518	12.26	0.051	0.341	0.768	2.252	0.138	0.054	0.012	1.687	0.014	21
1200	1	17.582	19.333	23.127	20.76	0.226	0.532	0.443	1.822	0.015	0.048	0.009	0.549	0.012	21
1200	1	18.005	14.058	27.425	17.314	0.808	1.786	0.942	1.647	0.008	0.043	0.012	1.622	0.022	21
1200	1	18.01	29.113	26.907	14.306	0.474	1.466	0.736	0.84	0.343	0.039	0.023	0.454	0.488	21
1200	1	16.986	16.518	20.633	24.419	0.61	1.894	1.166	2.258	0.019	0.09	0.012	0.515	0.113	21
1200	1	18.946	15.421	25.445	16.79	0.404	0.632	2.11	1.737	0.214	0.071	0.01	0.458	0.017	21
1200	1	19.647	27.518	21.194	15.41	0.629	3.167	1.363	1.662	0.012	0.072	0.017	0.78	0.247	21
1200	1	18.754	20.65	21.876	17.629	0.085	0.461	0.553	1.977	0.009	0.09	0.009	0.906	0.009	21
1200	1	17.577	16.464	19.631	24.262	0.2	0.301	1.57	3.42	0.133	0.115	0.013	2.669	0.018	21
1200	1	20.342	26.155	24.773	11.668	0.1	0.445	0.693	1.93	0.21	0.077	0.012	0.469	0.108	21
1200	1	18.76	23.238	21.889	19.572	0.257	1.345	1.507	2.096	0.312	0.089	0.011	1.429	0.009	21
1200	1	21.028	18.758	20.067	21.671	0.009	0.368	4.145	1.849	0.552	0.137	0.011	1.782	0.009	21
1200	1	21.227	22.125	21.685	18.782	0.017	0.19	1.265	2.623	0.34	0.139	0.012	2.163	0.009	21
1200	1	19.149	21.576	23.205	16.117	0.547	2.106	1.323	2.215	0.007	0.059	0.013	2.142	0.015	21
1200	1	17.555	31.508	23.329	15.67	0.518	1.949	1.019	1.596	0.144	0.047	0.03	1.852	0.654	21
1200	1	17.754	21.365	19.04	22.829	0.06	0.33	0.804	3.094	0.013	0.085	0.011	1.816	0.013	21
1200	1	20.251	27.464	23.693	13.942	0.326	1.498	4.01	0.512	0.493	0.066	0.022	0.2	0.46	21
1200	1	18.367	22.838	19.431	19.18	0.187	0.789	1.902	2.824	0.171	0.108	0.016	0.431	0.226	21
1200	1	19.365	21.466	23.105	17.932	0.596	2.566	1.436	1.284	0.128	0.071	0.01	0.539	0.02	21
1200	1	18.917	21.612	25.892	16.931	0.517	1.779	1.292	1.102	0.284	0.052	0.011	0.656	0.041	21
1200	1	17.714	24.191	21.739	17.66	0.056	0.188	1.53	3.484	0.072	0.045	0.018	5.04	0.027	21
1200	1	18.287	27.065	21.74	18.211	0.39	1.566	2.314	1.212	0.269	0.075	0.024	0.3	0.536	21
1200	1	17.54	32.788	23.112	15.21	0.577	2.144	1.198	1.394	0.126	0.047	0.033	1.551	0.803	21
1200	1	20.34	20.79	22.659	16.403	0.021	0.382	3.407	1.167	0.391	0.083	0.009	0.51	0.009	21
1200	1	18.794	24.652	27.13	13.882	0.556	1.417	0.507	1.125	0.149	0.041	0.019	0.307	0.351	21
1200	1	22.034	23.881	23.958	11.754	0.035	0.426	2.618	2.07	0.434	0.108	0.011	1.478	0.01	21
1200	1	18.849	23.144	20.238	20.102	0.188	0.832	2.043	2.07	0.213	0.098	0.016	0.643	0.25	21
1200	1	18.515	23.306	19.747	22.434	0.394	2.098	2.318	1.373	0.182	0.072	0.013	0.418	0.159	21
1200	1	17.611	17.077	27.792	19.308	0.428	0.627	1.01	0.891	0.296	0.033	0.009	0.323	0.019	21
1200	1	19.753	23.216	22.186	15.076	0.032	0.236	0.761	2.746	0.028	0.085	0.012	2.366	0.014	21
1200	1	18.516	20.567	18.819	20.352	0.031	0.094	1.007	3.675	0.136	0.129	0.01	0.479	0.01	21
1200	1	19.082	24.589	23.036	15.551	0.058	0.488	0.446	1.982	0.016	0.044	0.009	0.568	0.009	21
1200	1	18.455	22.76	21.931	21.634	0.02	0.212	2.067	2.08	0.356	0.066	0.013	2.454	0.015	21
1200	1	18.439	21.394	22.109	20.439	0.034	0.182	2.24	2.053	0.507	0.097	0.009	0.271	0.009	21
1200	1	19.148	24.195	23.033	13.852	0.048	0.324	0.654	2.574	0.012	0.061	0.012	2.095	0.015	21
1200	1	18.132	25.699	27.652	11.964	0.611	1.484	0.644	1.57	0.132	0.034	0.024	1.666	0.434	21
1200	1	18.09	33.893	23.454	15.127	0.588	2.19	0.151	1.053	0.026	0.044	0.031	0.239	0.823	21
1200	1	18.428	24.155	21.127	20.426	0.186	0.884	2.094	1.786	0.22	0.07	0.017	1.62	0.241	21
1200	1	19.714	16.52	27.243	14.508	0.395	0.652	2.966	1.172	0.422	0.064	0.01	0.33	0.017	21
1200	1	19.877	28.969	21.544	15.495	0.507	1.978	2.083	1.741	0.246	0.12	0.031	1.571	0.709	21
1200	1	19.631	26.134	24.225	15.556	0.02	0.177	0.8	2.073	0.242	0.05	0.011	1.48	0.013	21
1200	1	18.741	26.502	21.122	16.637	0.365	1.448	2.515	1.863	0.275	0.096	0.023	0.312	0.5	21
1200	1	20.716	28.74	30.881	8.42	0.044	0.167	1.446	0.588	0.834	0.051	0.01	0.129	0.01	21
1200	1	17.66	23.359	19.963	23.108	0.345	1.867	1.528	2.245	0.117	0.06	0.013	2.667	0.013	21
1200	1	20.057	28.293	23.424	12.898	0.285	1.19	0.614	2.235	0.147	0.092	0.021	1.475	0.351	21
1200	1	20.875	29.849	27.191	7.708	0.148	0.666	0.763	1.57	0.294	0.049	0.015	0.75	0.172	21
1200	1	22.221	18.999	17.973	19.676	0.075	0.475	0.836	4.054	0.084	0.213	0.014	3.674	0.009	21
1200	1	21.645	24.705	24.367	11.186	0.457	2.034	1	1.71	0.006	0.063	0.01	0.535	0.009	21
1200	1	17.764	16.828	19.957	23.964	0.16	0.315	1.52	2.796	0.116	0.106	0.012	2.054	0.015	21
1200	1	20.964	24.044	22.826	14.757	0.105	0.715	2.924	1.669	0.38	0.089	0.014	1.065	0.119	21
1200	1	19.29	20.048	19.352	17.843	0.109	0.406	0.726	3.408	0.016	0.152	0.014	1.541	0.106	21
1200	1	17.911	21.618	20.342	22.145	0.038	0.231	0.761	2.552	0.139	0.083	0.009	0.447	0.009	21
1200	1	16.92	19.137	20.088	24.343	0.135	0.363	0.726	2.614	0.078	0.078	0.009	0.474	0.011	21
1200	1	18.798	19.738	21.476	20.781	0.036	0.319	2.112	1.403	0.227	0.08	0.009	0.59	0.009	21
1200	1	16.86	13.225	25.518	21.472	0.684	1.216	0.92	1.722	0.05	0.057	0.012	0.45	0.104	21
1200	1	17.252	8.028	30.459	18.702	0.884	0.98	0.482	1.376	0.06	0.045	0.01	0.871	0.026	21
1200	1	19.951	19.436	21.322	22.475	0.001	0.457	5.484	0.409	0.672	0.069	0.009	0.198	0.009	21
1200	1	18.028	24.523	19.33	22.032	0.275	1.047	0.71	2.95	0.086	0.115	0.022	2.395	0.355	21
1200	1	19.277	22.743	25.534	16.452	0.159	0.49	1.586	1.171	0.326	0.039	0.009	0.304	0.011	21
1200	1	17.486	25.447	23.811	19.544	0.406	1.487	1.006	1.437	0.233	0.045	0.018	1.384	0.258	21
1200	1	19.53	17.278	23.211	19.917	0.196	0.558	4.178	0.998	0.487	0.071	0.009	0.297	0.013	21
1200	1	20.22	17.947	29.794	10.346	0.572	0.913	0.495	1.426	0.025	0.031	0.01	0.459	0.019	21
1200	1	21.563	26.973	23.143	13.232	0.152	1.032	0.576	1.865	0.008	0.056	0.009	0.456	0.008	21
1200	1	18.917	20.91	21.309	22.696	0.408	2.101	2.793	0.894	0.336	0.07	0.009	0.387	0.006	21
1200	1	20.631	18.774	30.018	9.399	0.52	0.708	0.282	1.497	0.01	0.031	0.01	0.449	0.019	21
1200	1	20.86	28.116	25.575	7.454	0.083	0.637	0.479	2.141	0.019	0.029	0.01	0.51	0.01	21
1200	1	17.252	22.275	27.727	14.431	0.777	1.669	0.475	1.548	0.019	0.029	0.024	1.739	0.464	21
1200	1	19.883	17.683	18.82	20.974	0.037	0.206	0.587	3.243	0.012	0.169	0.012	2.574	0.009	21
1200	1	20.201	20.032	19.276	23.37	0.045	0.525	2.607	2.058	0.28	0.112	0.01	1.519	0.008	21
1200	1	19.685	28.619	24.312	11.596	0.208	1.008	1.443	1.826	0.163	0.042	0.018	1.228	0.248	21
1200	1	17.786	18.485	25.916	18.4	0.394	0.747	0.39	1.523	0.014	0.022	0.009	0.456	0.015	21
1200	1	16.528	15.168	26.653	20.891	0.72	1.351	0.658	1.56	0.011	0.027	0.014	1.676	0.133	21
1200	1	18.146	23.323	21.327	19.709	0.026	0.185	0.652	2.67	0.009	0.056	0.013	2.692	0.017	21
1200	1	18.787	28.128	24.266	13.718	0.467	1.729	1.07	1.233	0.107	0.051	0.022	0.398	0.474	21
1200	1	16.166	15.818	26.977	21.389	0.856	1.693	0.414	1.035	0.016	0.032	0.017	0.375	0.319	21
1200	1	19.522	23.744	20.717	20.096	0.007	0.184	0.389	2.424	0.011	0.069	0.009	0.42	0.009	21
1200	1	17.444	31.842	23.172	15.009	0.57	2.069	0.335	1.385	0.025	0.057	0.031	0.994	0.777	21
1200	1	16.526	27.856	22.503	20.932	0.282	1.028	0.838	1.955	0.197	0.039	0.023	2.514	0.375	21
1200	1	21.041	28.276	30.733	8.083	0.046	0.159	1.536	0.807	0.869	0.07	0.01	0.483	0.01	21
1200	1	17.646	14.776	25.502	21.595	0.827	2.368	1.144	1.001	0.074	0.047	0.009	0.479	0.014	21
1200	1	19.709	26.885	25.68	11.11	0.113	0.458	0.886	1.953	0.261	0.062	0.015	1.712	0.121	21
1200	1	18.049	25.514	20.585	18.683	0.327	1.456	0.809	2.334	0.049	0.079	0.017	0.457	0.275	21
1200	1	20.968	20.298	21.566	14.429	0.038	0.287	1.324	2.664	0.11	0.139	0.011	1.856	0.01	21
1200	1	19.082	26.583	27.291	14.93	0.05	0.291	1.102	0.908	0.567	0.038	0.009	0.166	0.009	21
1200	1	20.21	24.694	27.878	11.274	0.372	0.905	0.561	1.256	0.192	0.04	0.013	0.325	0.154	21
1200	1	20.048	21.413	19.273	19.976	0.418	2.437	3.321	1.634	0.251	0.1	0.01	0.5	0.005	21
1200	1	21.694	21.258	22.899	15.737	0.047	0.731	5.814	0.506	0.689	0.077	0.009	0.244	0.009	21
1200	1	19.342	24.309	21.941	14.44	0.163	0.636	0.68	2.912	0.014	0.103	0.018	2.871	0.194	21
1200	1	19.95	22.5	23.864	11.753	0.048	0.209	0.808	2.356	0.17	0.105	0.01	0.713	0.01	21
1200	1	19.012	26.595	23.21	13.587	0.052	0.418	0.735	2.816	0.015	0.033	0.013	2.606	0.017	21
1200	1	18.807	18.218	18.59	21.764	0.039	0.17	0.73	3.306	0.043	0.149	0.011	1.644	0.009	21
1200	1	19.482	17.552	21.828	20.293	0.232	0.32	1.035	3.618	0.184	0.142	0.016	4.337	0.02	21
1200	1	18.294	28.058	21.809	14.761	0.322	1.253	0.618	2.571	0.023	0.074	0.022	0.968	0.407	21
1200	1	19.531	29.752	24.484	12.761	0.212	0.857	0.622	2.007	0.134	0.045	0.02	1.761	0.288	21
1200	1	22.424	25.246	25.08	8.333	0.018	0.402	2.687	1.479	0.314	0.07	0.01	0.464	0.01	21
1200	1	21.205	17.769	20.717	19.816	0.194	0.379	0.558	3.437	0.045	0.159	0.013	2.914	0.013	21
1200	1	21.797	28.073	25.391	7.487	0.041	0.507	1.015	1.958	0.095	0.041	0.01	0.458	0.01	21
1200	1	21.252	20.902	22.89	16.228	0.006	0.466	5.255	0.649	0.63	0.078	0.009	0.3	0.009	21
1200	1	19.969	20.083	25.17	15.868	0.435	1.513	2.215	1.25	0.313	0.07	0.01	0.708	0.011	21
1200	1	20.843	24.192	20.54	16.193	0.585	3.332	2.591	1.414	0.124	0.084	0.01	0.579	0.003	21
1200	1	17.157	33.673	23.976	14.535	0.758	2.628	0.195	0.885	0.029	0.052	0.036	0.3	0.988	21
1200	1	21.427	25.304	25.493	11.643	0.129	0.355	0.233	1.834	0.009	0.043	0.009	0.422	0.012	21
1200	1	17.896	23.455	24.322	19.31	0.21	0.585	0.862	1.565	0.326	0.057	0.012	0.271	0.126	21
1200	1	17.936	30.458	23.696	14.597	0.429	1.598	0.448	1.742	0.033	0.036	0.025	1.297	0.522	21
1200	1	18.426	21.374	25.786	14.45	0.311	0.601	0.648	2.345	0.014	0.027	0.013	2.179	0.021	21
1200	1	20.696	27.555	25.105	8.348	0.066	0.585	0.479	2.142	0.018	0.037	0.01	0.549	0.01	21
1200	1	18.901	19.269	25.517	16.585	0.351	0.677	1.56	1.869	0.132	0.04	0.012	1.884	0.02	21
1200	1	17.443	21.62	19.798	23.481	0.278	1.352	1.819	2.487	0.085	0.059	0.014	3.037	0.017	21
1200	1	18.934	19.841	23.059	20.076	0.391	1.259	0.71	1.77	0.007	0.059	0.01	0.992	0.012	21
1200	1	20.833	25.91	27.198	11.386	0.035	0.368	2.841	0.762	0.662	0.053	0.009	0.183	0.009	21
1200	1	18.571	21.67	23.293	17.436	0.136	0.452	0.436	1.89	0.013	0.053	0.009	0.735	0.011	21
1200	1	19.65	23.011	19.402	22.153	0.264	1.56	0.949	2.205	0.006	0.086	0.01	1.434	0.007	21
1200	1	18.739	18.589	22.998	19.516	0.71	1.601	0.478	2.641	0.022	0.137	0.025	2.385	0.465	21
1200	1	18.473	26.192	22.085	15.649	0.023	0.147	0.97	3.585	0.01	0.041	0.018	4.808	0.025	21
1200	1	16.968	27.549	21.465	18.033	0.196	0.713	0.963	3.324	0.015	0.04	0.024	4.842	0.264	21
1200	1	18.722	26.596	22.782	17.113	0.13	0.76	0.369	1.794	0.018	0.03	0.012	0.418	0.123	21
1200	1	17.442	24.117	21.225	18.408	0.033	0.145	1.007	3.529	0.01	0.05	0.017	4.828	0.025	21
1200	1	20.106	24.099	19.103	18.55	0.73	4.007	2.053	1.767	0.001	0.09	0.011	1.26	0.003	21
1200	1	19.061	16.321	20.272	24.618	0.415	1.316	0.861	2.549	0.016	0.118	0.011	2.013	0.011	21
1200	1	18.731	24.185	21.763	17.712	0.051	0.417	0.613	2.624	0.015	0.055	0.012	1.992	0.013	21
